emuIRN,curatorial_section,object_number,object_name,native_name,culture,provenience,material,period,date_made,date_made_early,date_made_late,accession_credit_line,creator,description,manufacture_locationlocus,culture_area,technique,iconography,measurement_height,measurement_length,measurement_width,measurement_outside_diameter,measurement_tickness,measurement_unit,other_numbers,url,image
74090,Near Eastern,61-14-2031,Spindle Whorl,,,Israel|Beth Shemesh,Stone,,,,,"Purchased from Haverford College, 1961",,"Conical spindle whorl, with top broken off.",,,,,,,,,,,5-22-33,http://www.penn.museum/collections/object/74090,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
732,Near Eastern,61-14-2032,Spindle Whorl,,,Israel|Beth Shemesh,Stone,,,,,"Purchased from Haverford College, 1961",,Conical.  Dark gray stone.,,,,,,,,,,,,http://www.penn.museum/collections/object/732,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
33213,Near Eastern,61-14-2033,Spindle Whorl,,,Israel|Beth Shemesh,Stone,,,,,"Purchased from Haverford College, 1961",,Conical; dark gray.,,,,,,,,,,,33-5-53,http://www.penn.museum/collections/object/33213,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
221809,Near Eastern,61-14-2034,Spindle Whorl,,,Israel|Beth Shemesh,Stone,,,,,"Purchased from Haverford College, 1961",,Hemispherical.  Dark grey stone.,,,,,,,,,,,33-5-52,http://www.penn.museum/collections/object/221809,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
320089,Near Eastern,61-14-2035,Spindle Whorl,,,Israel|Beth Shemesh,Stone,,,,,"Purchased from Haverford College, 1961",,Hemispherical.  Dark grey stone.,,,,,,,,,,,33-4-450 (B),http://www.penn.museum/collections/object/320089,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
245967,Near Eastern,61-14-2036,Spindle Whorl,,,Israel|Beth Shemesh,Stone,,,,,"Purchased from Haverford College, 1961",,Hemispherical; dark gray stone.,,,,,,,,,,,33-4-442,http://www.penn.museum/collections/object/245967,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
114258,Near Eastern,61-14-2037,Spindle Whorl,,,Israel|Beth Shemesh,Stone,,,,,"Purchased from Haverford College, 1961",,Conical shaped; dark gray stone.,,,,,,,,,,,33-5-45,http://www.penn.museum/collections/object/114258,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
81520,Near Eastern,61-14-2038,Spindle Whorl,,,Israel|Beth Shemesh,Stone,,,,,"Purchased from Haverford College, 1961",,"Conical, dark grey stone.",,,,,,,,,,,33-3-7,http://www.penn.museum/collections/object/81520,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
6385,Near Eastern,61-14-2039,Spindle Whorl,,,Israel|Beth Shemesh,Stone,,,,,"Purchased from Haverford College, 1961",,"Conical, dark grey stone.",,,,,,,,,,,33-5-122,http://www.penn.museum/collections/object/6385,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
6386,Near Eastern,61-14-2040,Spindle Whorl,,,Israel|Beth Shemesh,Stone,,,,,"Purchased from Haverford College, 1961",,Conical.,,,,,,,,,,,33-5-43,http://www.penn.museum/collections/object/6386,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
232216,Near Eastern,61-14-2041,Spindle Whorl,,,Israel|Beth Shemesh,Stone,,,,,"Purchased from Haverford College, 1961",,Hemispherical.,,,,,,,,,,,33-5-116,http://www.penn.museum/collections/object/232216,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
259630,Near Eastern,61-14-2042,Spindle Whorl,,,Israel|Beth Shemesh,Stone,,,,,"Purchased from Haverford College, 1961",,Spindle whorl.,,,,,,,,,,,33-4-267,http://www.penn.museum/collections/object/259630,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
270061,Near Eastern,61-14-2043,Spindle Whorl,,,Israel|Beth Shemesh,Stone,,,,,"Purchased from Haverford College, 1961",,Spindle Whorl,,,,,,,,,,,33-4-512,http://www.penn.museum/collections/object/270061,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
49601,Near Eastern,61-14-2044,Spindle Whorl,,,Israel|Beth Shemesh,Stone,,,,,"Purchased from Haverford College, 1961",,Conical shaped.  Dark grey stone.,,,,,,,,,,,33-5-66,http://www.penn.museum/collections/object/49601,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
128933,Near Eastern,61-14-2045,Spindle Whorl,,,Israel|Beth Shemesh,Stone,,,,,"Purchased from Haverford College, 1961",,"Conical, dark grey stone.",,,,,,,,,,,33-4-231,http://www.penn.museum/collections/object/128933,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
127649,Near Eastern,61-14-2046,Object,,,Israel|Beth Shemesh,Stone,,,,,"Purchased from Haverford College, 1961",,"Triangular, hole pierced through top.",,,,,,,,,,,,http://www.penn.museum/collections/object/127649,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
258213,Near Eastern,61-14-2048,Jug,,Mycenean Imitation,Israel|Beth Shemesh,Ceramic,,,,,"Purchased from Haverford College, 1961",,Pyxis jug.  Two handles sewn with thread to hold the vessel to a peg on the wall.  Imitation of a form developed in Mycenaean area.,,,,,,,,,,,1515|L-20-112,http://www.penn.museum/collections/object/258213,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
262493,Near Eastern,61-14-2049,Jug,,,Israel|Beth Shemesh,Ceramic,,,,,"Purchased from Haverford College, 1961",,"Fragmentary, ring base, spout, no handle.  Dark maroon painted decoration.",,,,,,,,,,,x100 (?),http://www.penn.museum/collections/object/262493,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
262494,Near Eastern,61-14-2050,Jug,,,Israel|Beth Shemesh,Ceramic,,,,,"Purchased from Haverford College, 1961",,"Handle, ring rim with small spout.  Rounded base.",,,,,,,,,,,219,http://www.penn.museum/collections/object/262494,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
36214,Near Eastern,61-14-2051,Jug,,,Israel|Beth Shemesh,Ceramic,,,,,"Purchased from Haverford College, 1961",,"handle, ring base, part of rim missing.",,,,,,,,,,,1713,http://www.penn.museum/collections/object/36214,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
70770,Near Eastern,61-14-2052,Jug,,,Israel|Beth Shemesh,Ceramic,,,,,"Purchased from Haverford College, 1961",,"Ring base, handle, part of rim missing.  White painted ring below handle.",,,,,,,,,,,33-4-404,http://www.penn.museum/collections/object/70770,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
183602,Near Eastern,61-14-2053,Jug,,,Israel|Beth Shemesh,Ceramic,,,,,"Purchased from Haverford College, 1961",,"No handle, spout, ring base, missing rim.",,,,,,,,,,,33-3-116,http://www.penn.museum/collections/object/183602,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
203402,Near Eastern,61-14-2054,Rattle,,,Israel|Beth Shemesh,Ceramic,,,,,"Purchased from Haverford College, 1961",,Double bulb shaped with a hole at top for suspension.,,,,,,,,,,,1654|L-20-96,http://www.penn.museum/collections/object/203402,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
317143,Near Eastern,61-14-2055,Jug,,,Israel|Beth Shemesh,Ceramic,,,,,"Purchased from Haverford College, 1961",,"Fragmentary, ring base.",,,,,,,,,,,33-4-206,http://www.penn.museum/collections/object/317143,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
148772,Near Eastern,61-14-2058,Juglet,,,Israel|Beth Shemesh,Ceramic,,,,,"Purchased from Haverford College, 1961",,"Rounded bottom, handle.  Blackware juglet.",,,,,,,,,,,158(?),http://www.penn.museum/collections/object/148772,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
337041,Near Eastern,61-14-2059,Juglet,,,Israel|Beth Shemesh,Ceramic,,,,,"Purchased from Haverford College, 1961",,"Rounded bottom, part of rim missing, handle missing.",,,,,,,,,,,33-3-106,http://www.penn.museum/collections/object/337041,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
337042,Near Eastern,61-14-2060,Chalice,,,Israel|Beth Shemesh,Ceramic,,,,,"Purchased from Haverford College, 1961",,Ringed rim.,,,,,,,,,,,L-20-98,http://www.penn.museum/collections/object/337042,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
343699,Near Eastern,61-14-2061,Lentoid Flask,,,Israel|Beth Shemesh,Ceramic,,,,,"Purchased from Haverford College, 1961",,"Two handles, spout missing.  Painted concentric circles on exterior.",,,,,,,,,,,22?,http://www.penn.museum/collections/object/343699,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
276952,Near Eastern,61-14-2062,Lentoid Flask,,,Israel|Beth Shemesh,Ceramic,,,,,"Purchased from Haverford College, 1961",,"Fragmentary, one handle.",,,,,,,,,,,33-5-68,http://www.penn.museum/collections/object/276952,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
323887,Near Eastern,61-14-2063,Lamp,,Canaanite,Israel|Beth Shemesh,Ceramic,,,,,"Purchased from Haverford College, 1961",,"Canaanite lamp, mended.",,,,,,,,,,,33-5-100,http://www.penn.museum/collections/object/323887,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
165496,Near Eastern,61-14-2066,Lamp,,Canaanite,Israel|Beth Shemesh,Ceramic,,,,,"Purchased from Haverford College, 1961",,Canaanite lamp.,,,,,,,,,,,33-4-469,http://www.penn.museum/collections/object/165496,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
181201,Near Eastern,61-14-2067,Bowl,,,Israel|Beth Shemesh,Ceramic,,,,,"Purchased from Haverford College, 1961",,Ring base.,,,,,,,,,,,?,http://www.penn.museum/collections/object/181201,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
285193,Near Eastern,61-14-2068,Bowl,,,Israel|Beth Shemesh,Ceramic,,,,,"Purchased from Haverford College, 1961",,"Mended, round bottom.",,,,,,,,,,,236,http://www.penn.museum/collections/object/285193,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
150503,Near Eastern,61-14-2069,Bowl,,,Israel|Beth Shemesh,Ceramic,,,,,"Purchased from Haverford College, 1961",,"Ring base, mended.",,,,,,,,,,,,http://www.penn.museum/collections/object/150503,https://upmaa-pennmuseum.netdna-ssl.com/collections/images/image_not_available_300.jpg
