Référence,Description,Domaine 1,Domaine 2,Domaine 3,Civilisation,Période,Date précise début,Date précise fin,Pays de découverte,Site/Lieu de découverte,Lieu de production,Référence de l'objet,Type de document,Auteur du document,Année du document,Latitude,Longitude,Altitude,Précision
IAS-COL-30605,"[t]Palmyre/[i]Tadmor[/i], vallée des Tombeaux. Sépultures collectives sous forme de tombeaux-tours[/t]. 
[nl] [-x-] 
[nl] (Photographie en noir et blanc) 
",IMMOBILIER,Ensemble urbanistique,Nécropole,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-30606,"[t]Palmyre/[i]Tadmor[/i], Grande Colonnade[/t].
[nl] [-x-]
[nl] (Photographie en noir et blanc)
[nl] Chacune des colonnes porte une console qui soutenait une statue en bronze d'un notable de la ville.",IMMOBILIER,Local,Portique,Romaine,Haut-Empire,180,220,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.554622,38.264274,,Site
IAS-COL-30607,"[t]Palmyre/[i]Tadmor[/i], Grande Colonnade et arc monumental[/t]
[nl] [-x-]
[nl] (Photographie en noir et blanc)
[nl] Chacune des colonnes porte une console qui soutenait une statue en bronze d'un notable de la ville.",IMMOBILIER,Local,Portique,Romaine,Haut-Empire,180,220,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.554622,38.264274,,Site
IAS-COL-30608,"[t]Palmyre/[i]Tadmor[/i], Grande Colonnade. Château arabe en arrière plan[/t].
[nl] [-x-]
[nl] (Photographies en noir et blanc) 
[nl] Chacune des colonnes porte une console qui soutenait une statue en bronze d'un notable de la ville.",IMMOBILIER,Local,Portique,Romaine,Haut-Empire,180,220,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.554622,38.264274,,Site
IAS-COL-30609,"[t]Palmyre/[i]Tadmor[/i], Grande Colonnade. Château arabe en arrière plan[/t].
[nl] [-x-]
[nl] (Photographie en noir et blanc)
[nl] Chacune des colonnes porte une console qui soutenait une statue en bronze d'un notable de la ville.",IMMOBILIER,Local,Portique,Romaine,Haut-Empire,180,220,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.554622,38.264274,,Site
IAS-COL-55952,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Bâtiments nord et portique R 1[/t].
[nl][-x-]
[nl] (Photographie en noir et blanc)",IMMOBILIER,Structure architecturale,Bâtiment de fonction indéterminée,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,Bâtiment
IAS-COL-55953,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Bâtiments nord et portique R 4[/t].
[nl] [-x-]
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Structure architecturale,Bâtiment de fonction indéterminée,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,Bâtiment
IAS-COL-55954,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Portique R 1[/t].
[nl][-x-]
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Local,Portique,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553951,38.270337,,Bâtiment
IAS-COL-55955,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Portique R 1[/t]
[nl] [-x-]
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Local,Portique,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,"Le même objet apparaît dans: COLLART (P.), VICARI (J.), Le sanctuaire de Baalshamîn à Palmyre, vol. II, Topographie et architecture, Institut suisse de Rome, 1969, pl. XLIX, n°2, (Bibliotheca Helvetica Romana 10).",Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,Bâtiment
IAS-COL-55957,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Chapiteau épannelé, type A (grande cour)[/t].
[nl][-x-]
[nl] (Photographie en noir et blanc)",IMMOBILIER,Elément architectonique,Chapiteau,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,"Le même objet apparaît dans: COLLART (P.), VICARI (J.), Le sanctuaire de Baalshamîn à Palmyre, vol. II, Topographie et architecture, Institut suisse de Rome, 1969, pl. LXXXVIII, n°1, (Bibliotheca Helvetica Romana 10).",Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,Site
IAS-COL-55958,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Travaux d'anastylose[/t]
[nl] [-x-]
[nl] (Photographie en noir et blanc)",IMMOBILIER,Elément architectonique,Colonne,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,Bâtiment
IAS-COL-55959,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Portique C 1, colonnes relevées[/t].
[nl] [-x-]
[nl] (Photographie en noir et blanc)",IMMOBILIER,Local,Portique,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,"Le même objet apparaît dans: COLLART (P.), VICARI (J.), Le sanctuaire de Baalshamîn à Palmyre, vol. II, Topographie et architecture, Institut suisse de Rome, 1969, pl. XLIV, n°5, (Bibliotheca Helvetica Romana 10).",Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,Bâtiment
IAS-COL-55960,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Portique C 1, colonnes relevées[/t].
[nl] [-x-]
[nl] (Photographies en noir et blanc) ",IMMOBILIER,Local,Portique,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,"Le même objet apparaît dans: COLLART (P.), VICARI (J.), Le sanctuaire de Baalshamîn à Palmyre, vol. II, Topographie et architecture, Institut suisse de Rome, 1969, pl. XLIV, n°5, (Bibliotheca Helvetica Romana 10).",Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,Bâtiment
IAS-COL-55961,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Meule à grain à bras[/t]
[nl] [-x-]
[nl] (Photo en noir et blanc) 
",MOBILIER,Artisanat/outils,Meule/Moulin à bras,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553264,38.269978,,Site
IAS-COL-55962,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Bâtiments nord[/t].
[nl] [-x-]
[nl] (Photographie en noir et blanc)",IMMOBILIER,Structure architecturale,Bâtiment de fonction indéterminée,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,"Le même objet apparaît dans: COLLART (P.), VICARI (J.), Le sanctuaire de Baalshamîn à Palmyre, vol. II, Topographie et architecture, Institut suisse de Rome, 1969, pl. XLVIII, n°1, (Bibliotheca Helvetica Romana 10).",Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,Bâtiment
IAS-COL-55963,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Portique R 1[/t]
[nl][-x-]
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Local,Portique,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,"Le même objet apparaît dans: COLLART (P.), VICARI (J.), Le sanctuaire de Baalshamîn à Palmyre, vol. II, Topographie et architecture, Institut suisse de Rome, 1969, pl. XLIX, n°2, (Bibliotheca Helvetica Romana 10).",Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553951,38.270337,,Bâtiment
IAS-COL-55964,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Portique C 1, colonnes relevées[/t].
[nl] [-x-]
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Local,Portique,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,"Le même objet apparaît dans: COLLART (P.), VICARI (J.), Le sanctuaire de Baalshamîn à Palmyre, vol. II, Topographie et architecture, Institut suisse de Rome, 1969, pl. XLIV, n°5, (Bibliotheca Helvetica Romana 10).",Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,Bâtiment
IAS-COL-55965,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Grande cour, vue de l'est[/t].
[nl][b][-x-][/b]
[nl] (Photographie en noir et blanc)",IMMOBILIER,Local,Cour,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,Bâtiment
IAS-COL-55966,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Temple, façade antérieure[/t].
[nl] [-x-]
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Structure architecturale,Temple,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,"COLLART (P.), VICARI (J.), Le sanctuaire de Baalshamîn à Palmyre, vol. II, Topographie et architecture, Institut suisse de Rome, 1969, pl. LXIII, n°3, (Bibliotheca Helvetica Romana 10).",Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,Bâtiment
IAS-COL-55967,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Vue d'ensemble du sanctuaire[/t].
[nl] [b][-x-][/b]
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Ensemble urbanistique,Sanctuaire,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,"Le même objet apparaît dans: COLLART (P.), VICARI (J.), Le sanctuaire de Baalshamîn à Palmyre, vol. II, Topographie et architecture, Institut suisse de Rome, 1969, pl. XXXIII, n°1, (Bibliotheca Helvetica Romana 10).",Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956, 34.553264,38.269978,,Bâtiment
IAS-COL-55968,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Portique C 1, colonnes relevées[/t].
[nl] [-x-]
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Local,Portique,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,"Le même objet apparaît dans: COLLART (P.), VICARI (J.), Le sanctuaire de Baalshamîn à Palmyre, vol. II, Topographie et architecture, Institut suisse de Rome, 1969, pl. XLIV, n°5, (Bibliotheca Helvetica Romana 10).",Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,Bâtiment
IAS-COL-55969,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Grande cour, vue du nord[/t].
[nl] [-x-]
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Local,Cour,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,"Le même objet apparaît dans: COLLART (P.), VICARI (J.), Le sanctuaire de Baalshamîn à Palmyre, vol. II, Topographie et architecture, Institut suisse de Rome, 1969, pl. XLII, n°1, (Bibliotheca Helvetica Romana 10).",Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,Bâtiment
IAS-COL-55970,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Travaux d'anastylose[/t].
[nl] [-x-]
[nl] (Photographie en noir et blanc)
",IMMOBILIER,Elément architectonique,Colonne,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,Bâtiment
IAS-COL-55971,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Portique C 1[/t].
[nl] [-x-]
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Local,Portique,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,Bâtiment
IAS-COL-55972,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Portique C 1, colonnes relevées[/t].
[nl] [-x-]
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Local,Portique,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,"Le même objet apparaît dans: COLLART (P.), VICARI (J.), Le sanctuaire de Baalshamîn à Palmyre, vol. II, Topographie et architecture, Institut suisse de Rome, 1969, pl. XLIV, n°5, (Bibliotheca Helvetica Romana 10).",Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,Bâtiment
IAS-COL-55973,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Bâtiments nord et portique R 1[/t].
[nl] [-x-]
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Structure architecturale,Bâtiment de fonction indéterminée,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,"Le même objet apparaît dans: COLLART (P.), VICARI (J.), Le sanctuaire de Baalshamîn à Palmyre, vol. II, Topographie et architecture, Institut suisse de Rome, 1969, pl. XLVIII, n°1, (Bibliotheca Helvetica Romana 10).",Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,Bâtiment
IAS-COL-55975,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Portique C 1, colonnes relevées[/t].
[nl] [-x-]
[nl] (Photographie en noir et blanc)",IMMOBILIER,Local,Portique,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,"Le même objet apparaît dans: COLLART (P.), VICARI (J.), Le sanctuaire de Baalshamîn à Palmyre, vol. II, Topographie et architecture, Institut suisse de Rome, 1969, pl. XLIV, n°5, (Bibliotheca Helvetica Romana 10).",Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,Bâtiment
IAS-COL-55977,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Corniche[/t].
[nl] [-x-]
[nl] [Photographie en noir et blanc)",IMMOBILIER,Elément architectonique,Corniche modillonnaire,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,Site
IAS-COL-55978,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Chapiteau de la cour rhodienne[/t].
[nl][-x-]
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Elément architectonique,Chapiteau,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-55979,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Temple, façade antérieure[/t].
[nl] [-x-]
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Structure architecturale,Temple,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,"COLLART (P.), VICARI (J.), Le sanctuaire de Baalshamîn à Palmyre, vol. II, Topographie et architecture, Institut suisse de Rome, 1969, pl. LXIII, n°3, (Bibliotheca Helvetica Romana 10).",Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,Bâtiment
IAS-COL-55980,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Temple, vu du nord[/t].
[nl] [-x-]
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Structure architecturale,Temple,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,"COLLART (P.), VICARI (J.), Le sanctuaire de Baalshamîn à Palmyre, vol. II, Topographie et architecture, Institut suisse de Rome, 1969, pl. XXXV, n°1, (Bibliotheca Helvetica Romana 10).",Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
IAS-COL-55981,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Fragment de merlon décoré[/t].
[nl] [-x-]
[nl] (Photographie en noir et blanc)",IMMOBILIER,Elément architectonique,,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,,Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,Site
IAS-COL-55982,"[t]Palmyre/[i]Tadmor[/i], sanctuaire de Baalshamîn. Portique C 2[/t].
[nl] [-x-]
[nl] (Photographie en noir et blanc) ",IMMOBILIER,Local,Portique,Romaine,Haut-Empire,,,Syrie,Palmyre/Tadmor,,"COLLART (P.), VICARI (J.), Le sanctuaire de Baalshamîn à Palmyre, vol. II, Topographie et architecture, Institut suisse de Rome, 1969, pl. XLVI, n°1, (Bibliotheca Helvetica Romana 10).",Photographie N/B,"Paul Collart, IASA-UNIL",1954-1956,34.553048,38.269978,,
