,emuIRN,curatorial_section,object_number,object_name,native_name,culture,provenience,material,period,date_made,date_made_early,date_made_late,accession_credit_line,creator,description,manufacture_locationlocus,culture_area,technique,iconography,measurement_height,measurement_length,measurement_width,measurement_outside_diameter,measurement_tickness,measurement_unit,other_numbers,url,image_url
29,223010,Egyptian,69-29-363,Plater,,,Egypt|Abydos,Stone,,,,,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,Dark green stone.,,,,,,,,,,,67-302,http://www.penn.museum/collections/object/223010,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
30,319139,Egyptian,69-29-362A,Platter,,,Egypt|Abydos,Stone,,,,,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,Dark green stone.,,,,,,,,,,,67-301,http://www.penn.museum/collections/object/319139,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
31,15309,Egyptian,E15034,Offering Tray,,,Egypt|Giza,Limestone,,,,,,,"Double, uninscribed.",,,,,,,,,,,G 13,http://www.penn.museum/collections/object/15309,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
32,246144,Egyptian,E9900,Stela,,,Egypt|Abydos|Umm el-Ga'ab,Limestone,Egyptian Early Dynastic|First Dynasty,3000 - 2800 BC,-3001,-2799,"Distribution from the Egypt Exploration Fund, 1901",,Uninscribed.,,,,,,,,,,,AES 2427,http://www.penn.museum/collections/object/246144,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
33,23554,Egyptian,29-66-662,Stela,,,Egypt|Dendereh,Limestone,,,,,"The Eckley B. Coxe Jr. Expedition to Dendereh, Egypt;  Clarence Stanley Fisher, 1915-1923",,"Limestone; left edge of stone; behind woman's arm (?), part of vertical band of incised inscription.",,,,,,,,,,,D4210,http://www.penn.museum/collections/object/23554,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
34,176477,Egyptian,69-29-202,Fragment,,,Egypt|Abydos,Limestone|Ink,,,,,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,"Cartouche(?) in ink, two sides.",,,,Cartouche?,,,,,,,67-677,http://www.penn.museum/collections/object/176477,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
35,290317,Egyptian,69-29-204,Fragment,,,Egypt|Abydos,Limestone|Ink,,,,,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,Black ink inscription.,,,,,,,,,,,67-681,http://www.penn.museum/collections/object/290317,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
36,291489,Egyptian,69-29-211,Fragment,,,Egypt|Abydos,Limestone|Ink,,,,,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,Hieroglyphs in black ink.,,,,,,,,,,,67-226,http://www.penn.museum/collections/object/291489,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
37,26357,Egyptian,69-29-221,Fragment,,,Egypt|Abydos,Limestone|Ink,,,,,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,Ostracon. 7 lines hieratic.,,,,Text,,,,,,,67-86,http://www.penn.museum/collections/object/26357,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
38,274024,Egyptian,69-29-237,Ball,,,Egypt|Abydos,Stone|Ink,,,,,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,With inscription. Spherical.,,,,,,,,,,,67-672,http://www.penn.museum/collections/object/274024,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
39,100778,Egyptian,69-29-277,Fragment,,,Egypt|Abydos,Limestone|Ink,,,,,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,Ostracon. 5 lines demotic.,,,,,,,,,,,67-433,http://www.penn.museum/collections/object/100778,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
40,101260,Egyptian,69-29-322,Fragment,,,Egypt|Abydos,Limestone|Ink,,,,,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,"Demotic, black ink. 3 lines of text.",,,,,,,,,,,69-170,http://www.penn.museum/collections/object/101260,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
41,196821,Egyptian,69-29-337,Drawing Fragment,,,Egypt|Abydos,Limestone,,,,,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,Crude/Both Sides,,,,Drawing,,,,,,,67-218,http://www.penn.museum/collections/object/196821,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
42,35442,Egyptian,69-29-348,Drawing Fragment,,,Egypt|Abydos,Limestone|Paint,,,,,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,With painted figure.,,,,Drawing|Figure,,,,,,,68-86,http://www.penn.museum/collections/object/35442,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
43,159914,Egyptian,29-66-654,Stela,,,Egypt|Dendereh,Limestone,,,,,"The Eckley B. Coxe Jr. Expedition to Dendereh, Egypt;  Clarence Stanley Fisher, 1915-1923",,Limestone. From top of stone near right corner.,,,,,,16.0,15.0,,,cm,D3685,http://www.penn.museum/collections/object/159914,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
44,53903,Egyptian,29-75-586,Offering Basin,,,Egypt|Mit-Rahineh,Limestone,,,,,"The Eckley B. Coxe Jr. Expedition to Mit-Rahineh (Memphis), Egypt, 1915-1920",,Limestone,,,,,3.1,14.9,13.9,,,cm,M12205,http://www.penn.museum/collections/object/53903,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
45,204278,Egyptian,29-87-630,Fragment,,,Egypt|Dra Abu El-Naga,Limestone,,,,,"The Eckley B. Coxe Jr. Expedition to Drah abu el Naga (Thebes), Egypt; Clarence Stanley Fisher, 1921-1923",,Inscribed,,,,,,,11.8,,,cm,,http://www.penn.museum/collections/object/204278,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
46,301926,Egyptian,69-29-59,Stela,,,Egypt|Abydos,Limestone|Ink,,,,,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,Faded Scene/Upper Part,,,,,,,,,,,67-23,http://www.penn.museum/collections/object/301926,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
47,100187,Egyptian,69-29-68,Stela,,,Egypt|Abydos,Limestone,,,,,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,Fragment. Text.,,,,,,,,,,,67-171,http://www.penn.museum/collections/object/100187,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
48,220153,Egyptian,69-29-84,Stela,,,Egypt|Abydos,Limestone,,,,,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,Fragment with text. Fig. in high relief.,,,,,,,,,,,67-463,http://www.penn.museum/collections/object/220153,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
49,201528,Egyptian,69-29-369,Bowl,,,Egypt|Abydos,Limestone,,,,,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,,,,,,,,,,67-692,http://www.penn.museum/collections/object/201528,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
50,217339,Egyptian,E17864,Object,,,Egypt|Dendereh,Limestone,,,,,"Distribution from the Egypt Exploration Fund, William Flinders Petrie, 1898",,Fragment of inscription.,,,,,,,,,,,,http://www.penn.museum/collections/object/217339,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
51,12283,Egyptian,29-66-629,Stela,,,Egypt|Dendereh,Limestone,,,,,"The Eckley B. Coxe Jr. Expedition to Dendereh, Egypt;  Clarence Stanley Fisher, 1915-1923",,Limestone. Upper left corner.,,,,,,,,,,,D2744,http://www.penn.museum/collections/object/12283,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
52,88049,Egyptian,69-29-93,Stela,,,Egypt|Abydos,Limestone,,,,,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,Fragment. Upper part.,,,,,,,,,,,67-546,http://www.penn.museum/collections/object/88049,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
53,158806,Egyptian,69-29-195,Fragment,,,Egypt|Abydos,Limestone|Ink,,,,,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,Crude Inscription,,,,Inscription,,,,,,,67-438,http://www.penn.museum/collections/object/158806,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
54,323960,Egyptian,29-66-596,Door Frame,,,Egypt|Dendereh,Limestone,,,,,"The Eckley B. Coxe Jr. Expedition to Dendereh, Egypt;  Clarence Stanley Fisher, 1915-1923",,Limestone.,,,,,,,,,,,D669,http://www.penn.museum/collections/object/323960,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
55,199838,Egyptian,29-66-701,Door Frame,,,Egypt|Dendereh,Limestone,,,,,"The Eckley B. Coxe Jr. Expedition to Dendereh, Egypt;  Clarence Stanley Fisher, 1915-1923",,"Limestone. ""beby overseer of the house""",,,,,,,,,,,D3029,http://www.penn.museum/collections/object/199838,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
56,296298,Egyptian,E17800,Stela,,,Egypt|Dendereh,Limestone,,,,,"Distribution from the American Exploration Society; Charles Rosher, 1898",,"Fragment. R, upper portion, Inscription: swr w'ty i---  ....",,,,,,,,,,,,http://www.penn.museum/collections/object/296298,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
57,54362,Egyptian,29-66-797,Stela,,,Egypt|Dendereh,Limestone,,,,,"The Eckley B. Coxe Jr. Expedition to Dendereh, Egypt;  Clarence Stanley Fisher, 1915-1923",,,,,,,31.5,,,,,cm,,http://www.penn.museum/collections/object/54362,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
58,136184,Egyptian,69-29-341,Drawing Fragment,,,Egypt|Abydos,Limestone|Ink,,,,,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,Lion's head drawn in in black ink.,,,,Drawing|Lion Head,,,,,,,67-675,http://www.penn.museum/collections/object/136184,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
59,90773,Egyptian,E2211B,Statuary,,,Egypt|El-Amarna,Limestone,,,,,"Purchased from William Flinders Petrie, 1893",,Ornamentation in relief.,,,,,16.0,28.0,,,,cm,ES 2211,http://www.penn.museum/collections/object/90773,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
60,264735,Egyptian,29-66-626,Architecture,,,Egypt|Dendereh,Limestone,,,,,"The Eckley B. Coxe Jr. Expedition to Dendereh, Egypt;  Clarence Stanley Fisher, 1915-1923",,"Limestone. Left end of stele; 2 figures, a woman at left and a man at right.",,,,,33.5,29.0,,,,cm,D2328,http://www.penn.museum/collections/object/264735,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
61,30292,Egyptian,69-29-385,Head Rest,,,Egypt|Abydos,Limestone,,,,,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,,,,,,,,,,67-209,http://www.penn.museum/collections/object/30292,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
62,292337,Egyptian,E17629,Offering Table,,,Egypt|Dendereh,Limestone,,,,,,,With two basins.,,,,,,,,,,,D3078?,http://www.penn.museum/collections/object/292337,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
63,213198,Egyptian,E17817,Stela,,,Egypt|Dendereh,Limestone,,,,,"Distribution from the American Exploration Society; Charles Rosher, 1898",,Inscribed fragment. Portion of two lines.,,,,,,,,,,,,http://www.penn.museum/collections/object/213198,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
64,16604,Egyptian,E17823,Stela,,,Egypt|Dendereh,Limestone,,,,,"Distribution from the American Exploration Society; Charles Rosher, 1898",,Inscribed fragment. Portion of column.,,,,,,,,,,,,http://www.penn.museum/collections/object/16604,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
65,9156,Egyptian,E17810B,Stela,,,Egypt|Dendereh,Limestone,,,,,"Distribution from the American Exploration Society; Charles Rosher, 1898",,Fragment. Top of owner's head.,,,,,,,,,,,,http://www.penn.museum/collections/object/9156,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
66,230305,Egyptian,E17880B,Stela,,,Egypt|Dendereh,Limestone,,,,,"Distribution from the Egypt Exploration Fund, William Flinders Petrie, 1898",,Fragment.,,,,,,,,,,,,http://www.penn.museum/collections/object/230305,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
67,100939,Egyptian,29-66-579,Door Frame,,,Egypt|Dendereh,Limestone,,,,,"The Eckley B. Coxe Jr. Expedition to Dendereh, Egypt;  Clarence Stanley Fisher, 1915-1923",,"Limestone. ""Revered Beby""",,,,,,24.5,7.2,,,cm,D3083,http://www.penn.museum/collections/object/100939,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
68,264429,Egyptian,29-66-804,Stela,,,Egypt|Dendereh,Limestone,,,,,"The Eckley B. Coxe Jr. Expedition to Dendereh, Egypt;  Clarence Stanley Fisher, 1915-1923",,,,,,,,,19.5,,,cm,,http://www.penn.museum/collections/object/264429,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
69,60006,Egyptian,69-29-335,Drawing Fragment,,,Egypt|Abydos,Limestone|Ink,,,,,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,Crude drawing of head in black ink.,,,,Drawing|Head,,,,,,,67-211,http://www.penn.museum/collections/object/60006,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
70,30945,Egyptian,E17834,Cornice,,,Egypt|Dendereh,Limestone,,,,,"Distribution from the American Exploration Society; Charles Rosher, 1898",,Fragment.,,,,,,,,,,,,http://www.penn.museum/collections/object/30945,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
71,85161,Egyptian,E3935,Block,,,Egypt|Dendereh,Sandstone,,,,,"Distribution from the Egypt Exploration Fund, William Flinders Petrie, 1898",,"Rectangular, with groove along each of the long sides.",,,,,,,,,,,AES721,http://www.penn.museum/collections/object/85161,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
72,55285,Egyptian,29-66-573,Frieze,,,Egypt|Dendereh,Limestone,,,,,"The Eckley B. Coxe Jr. Expedition to Dendereh, Egypt;  Clarence Stanley Fisher, 1915-1923",,Limestone,,,,,,,,,,,D1222,http://www.penn.museum/collections/object/55285,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
73,287624,Egyptian,29-66-614,Stela,,,Egypt|Dendereh,Limestone,,,,,"The Eckley B. Coxe Jr. Expedition to Dendereh, Egypt;  Clarence Stanley Fisher, 1915-1923",,Limestone. Inscription with name Antefy.,,,,,,,,,,,D5424,http://www.penn.museum/collections/object/287624,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
74,320524,Egyptian,29-66-639,Architecture,,,Egypt|Dendereh,Limestone,,,,,"The Eckley B. Coxe Jr. Expedition to Dendereh, Egypt;  Clarence Stanley Fisher, 1915-1923",,Limestone; showing sacrifice of bull; part of two horizontal bands of inscription.,,,,,,41.0,17.0,,,cm,D3245,http://www.penn.museum/collections/object/320524,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
75,84454,Egyptian,29-66-647,Stela,,,Egypt|Dendereh,Limestone,,,,,"The Eckley B. Coxe Jr. Expedition to Dendereh, Egypt;  Clarence Stanley Fisher, 1915-1923",,"Limestone. Incomplete, parts of man and wife standing facing right. He has staff and scepter.",,,,,,,,,,,D3494,http://www.penn.museum/collections/object/84454,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
76,143806,Egyptian,29-66-801,Stela,,,Egypt|Dendereh,Limestone,,,,,"The Eckley B. Coxe Jr. Expedition to Dendereh, Egypt;  Clarence Stanley Fisher, 1915-1923",,,,,,,,24.0,,,,cm,,http://www.penn.museum/collections/object/143806,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
77,59806,Egyptian,E17865A,Fragment,,,Egypt|Dendereh,Limestone,,,,,"Distribution from the Egypt Exploration Fund, William Flinders Petrie, 1898",,Fragment of inscription.,,,,,,,,,,,,http://www.penn.museum/collections/object/59806,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
78,219960,Egyptian,E16793,Architecture,,,Egypt|Dendereh,Limestone,Seventh Dynasty|Eighth Dynasty,,,,"Gift of Sara Yorke Stevenson, 1897",,Cornice of mastaba of Sennezsu.,,,,,,,,,,,,http://www.penn.museum/collections/object/219960,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
79,3855,Egyptian,E16794B,Architecture,,,Egypt|Dendereh,Limestone,Sixth Dynasty,,,,"Gift of Sara Yorke Stevenson, 1897",,Cornice fragment. From the cornice of mastaba of Adu II.,,,,,,,,,,,,http://www.penn.museum/collections/object/3855,https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/
