,accession_credit_line,creator,culture,culture_area,curatorial_section,date_made,date_made_early,date_made_late,description,emuIRN,iconography,image_url,manufacture_locationlocus,material,measurement_height,measurement_length,measurement_outside_diameter,measurement_tickness,measurement_unit,measurement_width,native_name,object_name,object_number,other_numbers,period,provenience,technique,url
11,"The Eckley B. Coxe Jr. Expedition to Dendereh, Egypt;  Clarence Stanley Fisher, 1915-1923",,,,Egyptian,,,,Limestone. Upper left corner of stone; woman's head. Scratched relief.,106240,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/273069.jpg""",,Limestone,,,,,,,,Stela,29-66-670,D4507,,Egypt|Dendereh,,http://www.penn.museum/collections/object/106240
12,"The Eckley B. Coxe Jr. Expedition to Dendereh, Egypt;  Clarence Stanley Fisher, 1915-1923",,,,Egyptian,,,,Inscription incomplete.,96093,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/273126.jpg""",,Limestone,,10.8,,,cm,3.0,,Door Frame,29-66-796,,,Egypt|Dendereh,,http://www.penn.museum/collections/object/96093
13,"The Eckley B. Coxe Jr. Expedition to Drah abu el Naga (Thebes), Egypt; Clarence Stanley Fisher, 1921-1923",,,,Egyptian,,,,Upper part of head of statue,153861,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/259412.jpg""",,Limestone,8.4,,,,cm,,,Statuary,29-87-484,400,,Egypt|Dra Abu El-Naga,,http://www.penn.museum/collections/object/153861
14,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,Egyptian,,,,Fragment. Remains of incised scene.,10308,Human Hand,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/274276.jpg""",,Limestone,,,,,,,,Relief,69-29-41,67-456,,Egypt|Abydos,,http://www.penn.museum/collections/object/10308
15,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,Egyptian,,,,,184574,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/274436.jpg""",,Limestone,,,,,,,,Trial Piece,69-29-350,67-163,,Egypt|Abydos,,http://www.penn.museum/collections/object/184574
16,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,Egyptian,,,,"""Trial piece"". Obverse crowned female head, reverse back of head with ear.",154719,Trial Piece,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/274399.jpg""",,Limestone,,,,,,,,Fragment,69-29-353,69-7,,Egypt|Abydos,,http://www.penn.museum/collections/object/154719
17,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,Egyptian,,,,,261959,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/274470.jpg""",,Granite,,,,,,,,Object,69-29-357,67-44,,Egypt|Abydos,,http://www.penn.museum/collections/object/261959
18,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,Egyptian,,,,Roughly worked.,292270,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/274467.jpg""",,Limestone,,,,,,,,Bowl,69-29-364,67-368,,Egypt|Abydos,,http://www.penn.museum/collections/object/292270
19,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,Egyptian,,,,Hieratic(?) text.,167900,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/274465.jpg""",,Limestone|Paint,,,,,,,,Bowl,69-29-368,67-547,,Egypt|Abydos,Painted,http://www.penn.museum/collections/object/167900
20,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,Egyptian,,,,,43838,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/274728.jpg""",,Limestone,,,,,,,,Fragment,69-29-394,67-333,,Egypt|Abydos,,http://www.penn.museum/collections/object/43838
21,"Distribution from the Egyptian Research Account, 1902",,Graeco-Roman,,Egyptian,,,,Block with dedication inscription in Greek.,191979,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/187796.jpg""",,Limestone,,,,,,,,Prism,E13376,AES 2760,Graeco-Roman Period,Egypt|Abydos,,http://www.penn.museum/collections/object/191979
22,"Distribution from the Egyptian Research Account; William Flinders Petrie, 1898",,,,Egyptian,,,,Hand from statue.,198709,Hand,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/275033.jpg""",,Sandstone,,,,,,,,Statuary,E2498,ES 2498,,Egypt|Coptos,,http://www.penn.museum/collections/object/198709
23,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,Egyptian,,,,Upper part. In sunken relief. Stela rounded on top.,103281,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/274270.jpg""",,Limestone,,,,,,,,Stela,69-29-106,67-686,,Egypt|Abydos,,http://www.penn.museum/collections/object/103281
24,"Distribution from the Egypt Exploration Fund, William Flinders Petrie, 1902",,,,Egyptian,,,,"Lower part of stela of man of unknown name. This part of the stela is dedicated to his sisters, Ded and Itu.",179752,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/275452.jpg""",,Limestone,,,,,,,,Stela,E9956,AES2488,,Egypt|Abydos (uncertain),,http://www.penn.museum/collections/object/179752
25,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,Egyptian,,,,Black ink inscription.,158807,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/274389.jpg""",,Limestone|Ink,,,,,,,,Fragment,69-29-205,67-683,,Egypt|Abydos,,http://www.penn.museum/collections/object/158807
26,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,Egyptian,,,,Ostrakon. 6 lines demotic.,51977,Text,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/274427.jpg""",,Limestone|Ink,,,,,,,,Fragment,69-29-271,67-306,,Egypt|Abydos,,http://www.penn.museum/collections/object/51977
27,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,Egyptian,,,,Ostracon.,25250,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/274487.jpg""",,Limestone|Ink,,,,,,,,Fragment,69-29-279,67-534,,Egypt|Abydos,,http://www.penn.museum/collections/object/25250
28,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,Egyptian,,,,In black ink.,235438,Drawing|Figure,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/274501.jpg""",,Limestone|Ink,,,,,,,,Drawing Fragment,69-29-344,68-7,,Egypt|Abydos,,http://www.penn.museum/collections/object/235438
29,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,Egyptian,,,,Dark green stone.,223010,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/274454.jpg""",,Stone,,,,,,,,Plater,69-29-363,67-302,,Egypt|Abydos,,http://www.penn.museum/collections/object/223010
30,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,Egyptian,,,,Dark green stone.,319139,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/274408.jpg""",,Stone,,,,,,,,Platter,69-29-362A,67-301,,Egypt|Abydos,,http://www.penn.museum/collections/object/319139
31,,,,,Egyptian,,,,"Double, uninscribed.",15309,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/276192.jpg""",,Limestone,,,,,,,,Offering Tray,E15034,G 13,,Egypt|Giza,,http://www.penn.museum/collections/object/15309
32,"Distribution from the Egypt Exploration Fund, 1901",,,,Egyptian,3000 - 2800 BC,-3001,-2799,Uninscribed.,246144,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/275440.jpg""",,Limestone,,,,,,,,Stela,E9900,AES 2427,Egyptian Early Dynastic|First Dynasty,Egypt|Abydos|Umm el-Ga'ab,,http://www.penn.museum/collections/object/246144
33,"The Eckley B. Coxe Jr. Expedition to Dendereh, Egypt;  Clarence Stanley Fisher, 1915-1923",,,,Egyptian,,,,"Limestone; left edge of stone; behind woman's arm (?), part of vertical band of incised inscription.",23554,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/273067.jpg""",,Limestone,,,,,,,,Stela,29-66-662,D4210,,Egypt|Dendereh,,http://www.penn.museum/collections/object/23554
34,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,Egyptian,,,,"Cartouche(?) in ink, two sides.",176477,Cartouche?,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/274483.jpg""",,Limestone|Ink,,,,,,,,Fragment,69-29-202,67-677,,Egypt|Abydos,,http://www.penn.museum/collections/object/176477
35,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,Egyptian,,,,Black ink inscription.,290317,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/274477.jpg""",,Limestone|Ink,,,,,,,,Fragment,69-29-204,67-681,,Egypt|Abydos,,http://www.penn.museum/collections/object/290317
36,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,Egyptian,,,,Hieroglyphs in black ink.,291489,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/274392.jpg""",,Limestone|Ink,,,,,,,,Fragment,69-29-211,67-226,,Egypt|Abydos,,http://www.penn.museum/collections/object/291489
37,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,Egyptian,,,,Ostracon. 7 lines hieratic.,26357,Text,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/274459.jpg""",,Limestone|Ink,,,,,,,,Fragment,69-29-221,67-86,,Egypt|Abydos,,http://www.penn.museum/collections/object/26357
38,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,Egyptian,,,,With inscription. Spherical.,274024,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/274398.jpg""",,Stone|Ink,,,,,,,,Ball,69-29-237,67-672,,Egypt|Abydos,,http://www.penn.museum/collections/object/274024
39,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,Egyptian,,,,Ostracon. 5 lines demotic.,100778,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/274417.jpg""",,Limestone|Ink,,,,,,,,Fragment,69-29-277,67-433,,Egypt|Abydos,,http://www.penn.museum/collections/object/100778
40,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,Egyptian,,,,"Demotic, black ink. 3 lines of text.",101260,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/274446.jpg""",,Limestone|Ink,,,,,,,,Fragment,69-29-322,69-170,,Egypt|Abydos,,http://www.penn.museum/collections/object/101260
41,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,Egyptian,,,,Crude/Both Sides,196821,Drawing,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/274440.jpg""",,Limestone,,,,,,,,Drawing Fragment,69-29-337,67-218,,Egypt|Abydos,,http://www.penn.museum/collections/object/196821
42,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,Egyptian,,,,With painted figure.,35442,Drawing|Figure,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/274495.jpg""",,Limestone|Paint,,,,,,,,Drawing Fragment,69-29-348,68-86,,Egypt|Abydos,,http://www.penn.museum/collections/object/35442
43,"The Eckley B. Coxe Jr. Expedition to Dendereh, Egypt;  Clarence Stanley Fisher, 1915-1923",,,,Egyptian,,,,Limestone. From top of stone near right corner.,159914,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/273066.jpg""",,Limestone,,16.0,,,cm,15.0,,Stela,29-66-654,D3685,,Egypt|Dendereh,,http://www.penn.museum/collections/object/159914
44,"The Eckley B. Coxe Jr. Expedition to Mit-Rahineh (Memphis), Egypt, 1915-1920",,,,Egyptian,,,,Limestone,53903,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/273132.jpg""",,Limestone,3.1,14.9,,,cm,13.9,,Offering Basin,29-75-586,M12205,,Egypt|Mit-Rahineh,,http://www.penn.museum/collections/object/53903
45,"The Eckley B. Coxe Jr. Expedition to Drah abu el Naga (Thebes), Egypt; Clarence Stanley Fisher, 1921-1923",,,,Egyptian,,,,Inscribed,204278,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/274221.jpg""",,Limestone,,,,,cm,11.8,,Fragment,29-87-630,,,Egypt|Dra Abu El-Naga,,http://www.penn.museum/collections/object/204278
46,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,Egyptian,,,,Faded Scene/Upper Part,301926,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/274301.jpg""",,Limestone|Ink,,,,,,,,Stela,69-29-59,67-23,,Egypt|Abydos,,http://www.penn.museum/collections/object/301926
47,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,Egyptian,,,,Fragment. Text.,100187,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/274251.jpg""",,Limestone,,,,,,,,Stela,69-29-68,67-171,,Egypt|Abydos,,http://www.penn.museum/collections/object/100187
48,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,Egyptian,,,,Fragment with text. Fig. in high relief.,220153,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/274262.jpg""",,Limestone,,,,,,,,Stela,69-29-84,67-463,,Egypt|Abydos,,http://www.penn.museum/collections/object/220153
49,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,Egyptian,,,,,201528,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/274428.jpg""",,Limestone,,,,,,,,Bowl,69-29-369,67-692,,Egypt|Abydos,,http://www.penn.museum/collections/object/201528
50,"Distribution from the Egypt Exploration Fund, William Flinders Petrie, 1898",,,,Egyptian,,,,Fragment of inscription.,217339,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/276397.jpg""",,Limestone,,,,,,,,Object,E17864,,,Egypt|Dendereh,,http://www.penn.museum/collections/object/217339
51,"The Eckley B. Coxe Jr. Expedition to Dendereh, Egypt;  Clarence Stanley Fisher, 1915-1923",,,,Egyptian,,,,Limestone. Upper left corner.,12283,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/273048.jpg""",,Limestone,,,,,,,,Stela,29-66-629,D2744,,Egypt|Dendereh,,http://www.penn.museum/collections/object/12283
52,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,Egyptian,,,,Fragment. Upper part.,88049,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/259786.jpg""",,Limestone,,,,,,,,Stela,69-29-93,67-546,,Egypt|Abydos,,http://www.penn.museum/collections/object/88049
53,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,Egyptian,,,,Crude Inscription,158806,Inscription,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/274430.jpg""",,Limestone|Ink,,,,,,,,Fragment,69-29-195,67-438,,Egypt|Abydos,,http://www.penn.museum/collections/object/158806
54,"The Eckley B. Coxe Jr. Expedition to Dendereh, Egypt;  Clarence Stanley Fisher, 1915-1923",,,,Egyptian,,,,Limestone.,323960,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/273009.jpg""",,Limestone,,,,,,,,Door Frame,29-66-596,D669,,Egypt|Dendereh,,http://www.penn.museum/collections/object/323960
55,"The Eckley B. Coxe Jr. Expedition to Dendereh, Egypt;  Clarence Stanley Fisher, 1915-1923",,,,Egyptian,,,,"Limestone. ""beby overseer of the house""",199838,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/273091.jpg""",,Limestone,,,,,,,,Door Frame,29-66-701,D3029,,Egypt|Dendereh,,http://www.penn.museum/collections/object/199838
56,"Distribution from the American Exploration Society; Charles Rosher, 1898",,,,Egyptian,,,,"Fragment. R, upper portion, Inscription: swr w'ty i---  ....",296298,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/276561.jpg""",,Limestone,,,,,,,,Stela,E17800,,,Egypt|Dendereh,,http://www.penn.museum/collections/object/296298
57,"The Eckley B. Coxe Jr. Expedition to Dendereh, Egypt;  Clarence Stanley Fisher, 1915-1923",,,,Egyptian,,,,,54362,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/273124.jpg""",,Limestone,31.5,,,,cm,,,Stela,29-66-797,,,Egypt|Dendereh,,http://www.penn.museum/collections/object/54362
58,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,Egyptian,,,,Lion's head drawn in in black ink.,136184,Drawing|Lion Head,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/274474.jpg""",,Limestone|Ink,,,,,,,,Drawing Fragment,69-29-341,67-675,,Egypt|Abydos,,http://www.penn.museum/collections/object/136184
59,"Purchased from William Flinders Petrie, 1893",,,,Egyptian,,,,Ornamentation in relief.,90773,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/205805.jpg""",,Limestone,16.0,28.0,,,cm,,,Statuary,E2211B,ES 2211,,Egypt|El-Amarna,,http://www.penn.museum/collections/object/90773
60,"The Eckley B. Coxe Jr. Expedition to Dendereh, Egypt;  Clarence Stanley Fisher, 1915-1923",,,,Egyptian,,,,"Limestone. Left end of stele; 2 figures, a woman at left and a man at right.",264735,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/273025.jpg""",,Limestone,33.5,29.0,,,cm,,,Architecture,29-66-626,D2328,,Egypt|Dendereh,,http://www.penn.museum/collections/object/264735
61,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,Egyptian,,,,,30292,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/274506.jpg""",,Limestone,,,,,,,,Head Rest,69-29-385,67-209,,Egypt|Abydos,,http://www.penn.museum/collections/object/30292
62,,,,,Egyptian,,,,With two basins.,292337,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/276522.jpg""",,Limestone,,,,,,,,Offering Table,E17629,D3078?,,Egypt|Dendereh,,http://www.penn.museum/collections/object/292337
63,"Distribution from the American Exploration Society; Charles Rosher, 1898",,,,Egyptian,,,,Inscribed fragment. Portion of two lines.,213198,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/276392.jpg""",,Limestone,,,,,,,,Stela,E17817,,,Egypt|Dendereh,,http://www.penn.museum/collections/object/213198
64,"Distribution from the American Exploration Society; Charles Rosher, 1898",,,,Egyptian,,,,Inscribed fragment. Portion of column.,16604,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/276472.jpg""",,Limestone,,,,,,,,Stela,E17823,,,Egypt|Dendereh,,http://www.penn.museum/collections/object/16604
65,"Distribution from the American Exploration Society; Charles Rosher, 1898",,,,Egyptian,,,,Fragment. Top of owner's head.,9156,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/276431.jpg""",,Limestone,,,,,,,,Stela,E17810B,,,Egypt|Dendereh,,http://www.penn.museum/collections/object/9156
66,"Distribution from the Egypt Exploration Fund, William Flinders Petrie, 1898",,,,Egyptian,,,,Fragment.,230305,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/276578.jpg""",,Limestone,,,,,,,,Stela,E17880B,,,Egypt|Dendereh,,http://www.penn.museum/collections/object/230305
67,"The Eckley B. Coxe Jr. Expedition to Dendereh, Egypt;  Clarence Stanley Fisher, 1915-1923",,,,Egyptian,,,,"Limestone. ""Revered Beby""",100939,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/272976.jpg""",,Limestone,,24.5,,,cm,7.2,,Door Frame,29-66-579,D3083,,Egypt|Dendereh,,http://www.penn.museum/collections/object/100939
68,"The Eckley B. Coxe Jr. Expedition to Dendereh, Egypt;  Clarence Stanley Fisher, 1915-1923",,,,Egyptian,,,,,264429,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/273263.jpg""",,Limestone,,,,,cm,19.5,,Stela,29-66-804,,,Egypt|Dendereh,,http://www.penn.museum/collections/object/264429
69,"Penn-Yale Expedition to Abydos, Egypt; David O'Connor and William Kelly Simpson, 1969",,,,Egyptian,,,,Crude drawing of head in black ink.,60006,Drawing|Head,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/274486.jpg""",,Limestone|Ink,,,,,,,,Drawing Fragment,69-29-335,67-211,,Egypt|Abydos,,http://www.penn.museum/collections/object/60006
70,"Distribution from the American Exploration Society; Charles Rosher, 1898",,,,Egyptian,,,,Fragment.,30945,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/276480.jpg""",,Limestone,,,,,,,,Cornice,E17834,,,Egypt|Dendereh,,http://www.penn.museum/collections/object/30945
71,"Distribution from the Egypt Exploration Fund, William Flinders Petrie, 1898",,,,Egyptian,,,,"Rectangular, with groove along each of the long sides.",85161,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/261460.jpg""",,Sandstone,,,,,,,,Block,E3935,AES721,,Egypt|Dendereh,,http://www.penn.museum/collections/object/85161
72,"The Eckley B. Coxe Jr. Expedition to Dendereh, Egypt;  Clarence Stanley Fisher, 1915-1923",,,,Egyptian,,,,Limestone,55285,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/272982.jpg""",,Limestone,,,,,,,,Frieze,29-66-573,D1222,,Egypt|Dendereh,,http://www.penn.museum/collections/object/55285
73,"The Eckley B. Coxe Jr. Expedition to Dendereh, Egypt;  Clarence Stanley Fisher, 1915-1923",,,,Egyptian,,,,Limestone. Inscription with name Antefy.,287624,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/227920.jpg""",,Limestone,,,,,,,,Stela,29-66-614,D5424,,Egypt|Dendereh,,http://www.penn.museum/collections/object/287624
74,"The Eckley B. Coxe Jr. Expedition to Dendereh, Egypt;  Clarence Stanley Fisher, 1915-1923",,,,Egyptian,,,,Limestone; showing sacrifice of bull; part of two horizontal bands of inscription.,320524,,"""https://upmaa-pennmuseum.netdna-ssl.com/collections/assets/1600/273020.jpg""",,Limestone,,41.0,,,cm,17.0,,Architecture,29-66-639,D3245,,Egypt|Dendereh,,http://www.penn.museum/collections/object/320524
