Title,Picture,Object type,Material,Dimensions in cm (Height x Length x Width),Diameter in cm,Inscription and particular characteristic,Excavation ID,Museum ID,Publication ID,Tiresias data base ID,Date,Description,Bibliography
Sculpture fragment of a goddess standing on an inscribed base.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190319105110_COL_PHOTO_PLANCHES_DET_01_43_08_78412.png,Sculpture,Soft limestone,20.5 x 10.5 x 17,"","Inscription on the plynth ""BLTY""",158,"Palmyra, B 1864",7,77679 ; 77680 ; 78412 ; 78413 ; 78684 ; 78685,1st century A.D.,"Sculpture fragment of a female deity standing on an inscribed base. Top, left and lower parts of the block are broken. The figure is in front view and wears a tunic covered by a coat creating two right-angled corners at breast level. The coat is carried by the right shoulder and the left arm of the statue. The right hand holds palm branches and the left one supports a long sceptre. The sceptre draws a long diagonal line from the left shoulder to the right foot of the figure. The goddess wears boots that are left side-view depicted. A face circled by hair is hardly discernible. A small part of the forehead remains. The inscription ""BLTY"" can be read on the base.
","Baalshamin I, p. 227 ; Baalshamin II, pl. 109 ; Baalshamin III, p. 69, N. 56, pl. 15 (7) ; Baalshamin IV, p. 85, pl. 5 ; Collart 1957, p. 85 ; Will 1986 (A), 94, Beltis 1, pl. 72."
Sculpture fragment of a base with three human feet.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190319144757_COL_PHOTO_PLANCHES_DET_01_40_21_78351.png,Sculpture,Hard limestone,17 x 38 x 17,"","",46,"Palmyra, B 1832",153,78224 ; 78351,"","Sculpture fragment of a base with three human feet. Top, right and left parts of the fragment are broken. A pair of female feet wearing sandals is present on the left side of the base. Sandals straps can be seen between the big toe and the second one on each foot of the female. A pleated cloth goes down at ground level between the two feet. A male right foot in a boot is difficult to discern on the right side of the fragment.","Baalshamin IV, p. 118, pl. 31."
Sculpture fragments of a male chest.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190328082908_COL_PHOTO_PLANCHES_DET_01_39_01_78330.png,Sculpture,Soft limestone,31 x 37 x 19,"","",27 ; 28 ; 34,"Palmyra, B 1829",68,77939 ; 78330,"","Four connecting fragments of a male draped chest. The statue is broken under the hips and from the neck up. The figure wears a tunic covered by a coat going down from the right shoulder and folded on the left one. The right hand is placed vertically against the right shoulder, holding laurel branches with berries. The statue has a square hole on the neck that was used to fix the head on the chest.","Baalshamin IV, p. 102, pl. 21."
Sculpture fragment of a figure's head.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190328100326_84redcopie.png,Sculpture,Soft limestone,13 x 9 x 6,"","",84,"Palmyra, B 1844",118,77929 ; 78352 ; 78353,"",Sculpture fragment of a figure's head broken above the forehead and from the neck down. The left part of the forehead is missing and has been broken to the brow bone by a diagonal split that creates a sharp angle near the eye. The back of head and the ears are missing as well. The nose and the mouth are damaged and the eyes are widely opened. Two holes constitute the pupils and two circular lines depict wrinkles on the neck.,"Baalshamin IV, p. 112, pl. 28."
Sculpture fragment of a priest's head.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190328104331_157red.png,Sculpture,Hard limestone,9 x 11 x 12,"","",157,"Palmyra, no ID",187,78352 ; 78353,"","Sculpture fragment of a priest's head. The top of the head, the lower part of the face and the nose are broken. Only two bulging eyes remain of all the facial features. The priest wears a broken cylindrical headdress divided in three sections.","Baalshamin IV, p. 125, pl. 37."
Sculpture fragment of a male head.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190328134001_43redcopie.png,Sculpture,Hard limestone,9.5 x 7.5 x 4.5,"","",43,"Palmyra, B 1831",112,78148 ; 78152 ; 78354,"","Sculpture fragment of a small male head wearing a laurel wreath. The fragment is mutilated and the nose, the lower part of the face and the back of the head are missing. Short lined up curls of hair cover the head and the forehead of the figure and the eyes are almond-shaped. The left side of the face is either missing or mutilated.","Baalshamin IV, p. 111, pl. 27."
Sculpture fragment of a priest's head.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190329114448_COL_PHOTO_PLANCHES_DET_01_40_25_78355.png,Sculpture,Hard limestone,10 x 10 x 9.5,"","",62,"Palmyra, B 1841",179,78355 ; 78356 ; 78394 ; 78395,"",Sculpture fragment of a priest's head that was part of a column capital. The statue is broken from the neck down and on the top of the head. The nose and the lower lip are damaged. The ears and the eyes seem unfinished. The face has a rough surface. The priest wears a cylindrical headdress divided by two deeply carved lines into three sections. The eyes are bulging and the mouth is barely open. Two leaves that were part of the column capital are still discernible on the fragment.,"Baalshamin IV, p. 124, pl. 37."
Sculpture fragment of a male head.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190404111452_COL_PHOTO_PLANCHES_DET_01_40_25_78355.png,Sculpture,Hard limestone,8 x 9 x 9,"","",125,"Palmyra, no ID",189,78138 ; 78355 ; 78356,"","Sculpture fragment of a male head. Only the face is remaining. The skullcap, the mouth, the right side of the nose and the left side of the face are broken. One hair strand can be seen on the right temple. The eyes are widely open and the pupils are made of circular holes. The mouth forms a circular opening.","Baalshamin IV, p. 126, pl. 37."
Sculpture fragments of a cornice with frames.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190404142707_COL_PHOTO_PLANCHES_DET_01_40_30_78360.png,Sculpture,Hard limestone,27 x 32 x 12,"",Red and blue paint might still be present on the halo behind the head or on the surface delimited by the frame.,136 ; 137,"Palmyra, B 1857",161,77901 ; 78145 ; 78360,"","Two coupling architectural fragments that used to form a cornice. All sides are damaged but a broken head in front view within a square frame can be seen on the bigger side. Noting remains of the figure's face but a radiant crown surrounded by a luminous halo is still visible. If the two fragments are combined, both upper corners of the frame can be seen. Upper parts of two other sculpted frames are also present on each sides of the fragment. The top of the biggest fragment is ornamented with carved vegetal motifs. Red and blue paint might still be present on the halo behind the head or on the surface delimited by the frame.","Baalshamin IV, p. 120, pl. 33."
Sculpture fragment of a female chest.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190404160124_COL_PHOTO_PLANCHES_DET_01_40_31_78361.png,Sculpture,Hard limestone,14 x 22 x 13,"","",70,"Palmyra, no ID",149,78164 ; 78361,"",Sculpture fragment of a female draped chest broken on all sides. The folds of the tunica worn by the figure are spreading as they go closer to the area where the statue's right arm should normally be.,"Baalshamin IV, p. 118, pl. 31."
Sculpture fragment of a male chest with drapery.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190405095052_COL_PHOTO_PLANCHES_DET_01_40_32_78362.png,Sculpture,Hard limestone,19 x 19 x 17,"","",35,"Palmyra, B 1830",96,78362 ; 78363,"",Sculpture fragment of a male chest with drapery. The fragment is broken on all sides. The figure's right forearm is bent in an L-shape against the chest. A coat is wrapped around it. The arm is broken at the wrist.,"Baalshamin IV, p. 107, pl. 25."
Sculpture fragment of a decorated receptacle.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190405110754_COL_PHOTO_PLANCHES_DET_01_40_34_78364.png,Sculpture,Hard limestone,9.5 x - x -,14 (outer) ; 5 (internal),"",150,"Palmyra, no ID",166,78364,"",Sculpture fragment of a decorated receptacle. The lower section is broken. Almost all of the outside surface is decorated with a six-petal rose circled by a laurel crown.,"Baalshamin IV, p. 122, pl. 35."
Sculpture fragment of a human's chest with drapery.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190405120742_COL_PHOTO_PLANCHES_DET_01_40_36_78366.png,Sculpture,Soft limestone,22 x 14 x 9.5,"","",152,"Palmyra, no ID",74,78222 ; 78366,"",Sculpture fragment of a human's chest with drapery. Only the right shoulder and the upper arm are preserved. The figure wears a tunica and a thick shoulder strap belt. A  diamond-shaped ribbon decorated with incised squares and rectangles can be seen at the neckline of the tunica. A very small portion of the neck is still visible.,"Baalshamin IV, p. 103, pl. 21."
Sculpture fragment of a priest's head.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190412094409_COL_PHOTO_PLANCHES_DET_01_31_06_77792.png,Sculpture,Porous limestone,10 x 10 x 6.5,"","",167,"Palmyra, no ID",186,77892,"","Sculpture fragment of a priest's head broken on all sides. The section above the neck only is preserved. The fragment is porous and very damaged. The facial characteristics of a priest are hardly discernible. The face is badly mutilated but it is possible to guess the form of the eyes, the nose and the mouth.","Baalshamin, IV, p. 125, pl. 37."
Sculpture fragment of a priest's head.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190412161423_COL_PHOTO_PLANCHES_DET_01_31_07_77893.png,Sculpture,Hard and porous limestone,15 x 13 x 9,"","",191,"Palmyra, B 1876",173,"77893, 78776","","Sculpture fragment of a priest's head broken from the neck down. The limestone is very porous but the facial characteristics of the figure are still discernible. The right ear is missing and the left one is folded forward, due to the use of the fragment as part of a column capital. Only the upper half of the nose and the middle of the mouth are preserved. Both eyes are damaged and the right cheek is entirely missing. The priest wears a cylindrical headdress divided by to carved lines into three sections.","Baalshamin IV, p. 123, pl. 36."
Sculpture fragment of a male head.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190412172820_COL_PHOTO_PLANCHES_DET_01_31_08_77894.png,Sculpture,Hard limestone,12 x 10 x 12,"",A straight crack can be seen between the left ear and the right part of the chin.,176,"Palmyra, B 1872",109,77894 ; 77895 ; 78167; 78173 ; 78174,"","Sculpture fragment of a male head. The lower half of the face is missing, a straight crack between the left ear and the right part of the chin can be seen. The upper half of the face is very mutilated. The nose, the mouth and the right eye are broken. The left eye is intact and the eyebrow is depicted with small carved lines. The eyelid is detailed and the iris is deeply carved. Two rows of curls of hair are preserved, each one of them going in a different direction. The left eye and the hair are well detailed. ","Baalshamin IV, p. 110, pl. 27."
Sculpture fragment of a priest's head.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190418141148_COL_PHOTO_PLANCHES_DET_01_31_10_77796.png,Sculpture,Porous limestone,13 x 12 x 10,"","",166,"Palmyra, B 1867",169,77896,"","Sculpture fragment of a priest's head broken from the neck down. The priest has a brachycephalic-type skull and wears a cylindrical headdress broken on the top, the left and the right sides. The face is damaged and really porous. The facial features are mutilated but still discernible. Two bulging eyes, the nose, the chin and the ears can still be seen. Only the middle of the mouth is preserved and shows fleshy lips.","Baalshamin IV, p. 122, pl. 36."
Sculpture fragment of a human left leg.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190418152711_COL_PHOTO_PLANCHES_DET_01_31_11_77897.png,Sculpture,Hard limestone,15.5 x 11 x 11,"","",186,"Palmyra, No ID",61,77897,"",Sculpture fragment of a human left leg. Only the part between the ankle and the knee is preserved. A section of the black plate that used to support the statue and bind the two legs together is still visible. ,"Baalshamin IV, p. 100, pl. 19."
Sculpture fragments of a soldier.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190509164853_COL_PHOTO_PLANCHES_DET_01_27_10_77751.png,Sculpture,Soft limestone,"a) 14 x 12 x 14
b) 24 x 21 x 9 ","","a) Blue paint still perceptible on some parts of the fragment.
b) Blue paint on the back and red paint on the tunica.","a) 189
b) 195","Palmyra, No ID",27,77671 ; 77751 ; 77898,1st century A.D.,"Two non-coupling sculpture fragments of a soldier.
a) Sculpture fragment of a piece of clothing with three folds. A round shape fibula is half hidden by the coat. Blue paint is still present on the fragment.
b) Sculpture fragment of the right leg and waist of a soldier. The fragment is preserved from the knee to the waist only. Three prominent elements that might depict a tree are visible on the left. Two leather straps of a leather body armor are still perceptible over a tunica. Red paint can still be seen on the tunica as well as blue paint on the back of the statue. ","Baalshamin IV, p. 92, pl. 11, Beilage 5."
Sculpture fragment of a winged figure.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190425103855_COL_PHOTO_PLANCHES_DET_01_31_16_77902.png,Sculpture,Hard limestone,96 x 17 x 37 ,"","",181,"Palmyra, No ID",18,77902,"",Sculpture fragment of a winged figure. The fragment is broken on all sides. Only the upper part of the right wing and the mid-upper right arm are visible. Only the elbow of the statue remains entirely preserved. The arm is naked but a bracelet decorated with carved lines can be seen on it. There is a round shape incised circle on the middle of the bracelet. Many incised and detailed feathers depict the wing. A part of the plate on which the back of the statue leans is preserved.,"Baalshamin I, p. 210 ; Baalshamin IV, p. 89, pl. 9, Beilage 4. "
Sculpture fragments of a draped male figure.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20191129141247_COL_PHOTO_PLANCHES_DET_01_20_12_77534.png,Sculpture,Soft limestone,"Both fragments combined : 155 x 45 x 35
Left arm fragment : 35 x 14 x 9","","",174 ; 233,"Palmyra, B 1888",41,77533 ; 77534 ; 77535 ; 77536 ; 77537 ; 77903 ; 78600,"","Two sculpture fragments of a draped male figure. A series of folds of cloth is visible on the inner side of the smaller one. They were covering the left arm of the figure which is only preserved from the shoulder to the elbow. The largest fragment goes from the shoulders to the ankles. The head, the feet and the right arm are entirely missing. The hands are very mutilated but a leafy branch is visible in the left one. An horizontal breach can bee seen at the level of the waist of the statue. The man stands and the legs are held together by a back plate. Both arms were folded against the body. The V-shaped folds of the tunica are visible on the chest and those of the coat are horizontal at stomach level and vertical near of the legs. The left hand prevents them from falling down. The coat is folded on the left shoulder and falls down behind the back of the figure which is less detailed. ","Baalshamin IV, p. 96, pl 15 ; Equini Schneider 1992, p. 114, fig. 1 ; Tanabe 1986, pl. 170."
Sculpture fragment of a male left arm.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190425155439_COL_PHOTO_PLANCHES_DET_01_31_18_77904-copie.png,Sculpture,Soft limestone,40.5 x 20 x 23.5,"","",201,"Palmyra, B 1880",57,77904 ; 78621,"",Sculpture fragment of a male left arm. Only the upper part between the elbow and the shoulder is preserved. The arm is draped by a coat that is folded upon the shoulder. The fragment is of a substantial size. Folds of cloth are sculpted .,"Baalshamin IV, p. 99, pl. 19."
Sculpture fragment of a decorated mattress.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190426092234_COL_PHOTO_PLANCHES_DET_01_31_19_77905.png,Sculpture,Soft limestone,18 x 22 x 13,"","",190,"Palmyra, No ID",132,77905,"","Sculpture fragment of a decorated mattress. The fragment is broken on top and on the right part, the lower left angle only is preserved. The mattress is covered by a folded cloth. The left side is decorated with a vegetal tendril pattern surrounding two four-petals roses. A dozen of pearls contained in a rectangular board can also be seen between the mattress and the roses. Those in the center of the board are missing.","Baalshamin IV, p. 114, pl. 29."
Sculpture fragment of a lion head.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190426100348_COL_PHOTO_PLANCHES_DET_01_31_20_77906.png,Sculpture,Hard limestone,24 x 24 x 14,"","",183,"Palmyra, No ID",33,77906,"","Sculpture fragment of a lion head. The lower part of the muzzle is broken and the upper one is very damaged. Two prominent conic shape eyes can be seen under protruding eyelids. The forehead has a bumpy surface. The triangle-shape muzzle extends upward to the mane and separate the forehead into two halves. The lower part of the mane depicted by a few incised lines is visible. On the left, a small portion of the cornice on which the head was hooked is still conserved. Under the fragment, the trace of a hole used to evacuate water can still be seen.","Baalshamin IV, p. 93, pl. 12."
Four sculpture fragments of a lying draped figure,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190426112741_COL_PHOTO_PLANCHES_DET_01_31_21_77907.png,Sculpture,Soft limestone,"Three connecting fragments : 31 x 39 x 24
Fourth fragment with the complete hand : 27 x 25 x 24","","",169 ; 228 ; 300 ; 301 ,"Palmyra, No ID",123,77571 ; 77573 ; 77907 ; 77945 ; 78596,"","Four damaged sculpture fragments of a draped figure in a lying position. Three of them connect ( Excavation ID 169 ; 300 ; 301). On those, it is possible to recognize the right hand holding a flower leaning against two draped thighs. There is a gap between the hand and the flower. A part of the stomach is preserved and some folds of cloth can be seen on it. The fourth fragment  ( Excavation ID 228) shows the left hand leaning against a pillow and holding a decorated pottery by the handle. The thumb and the forefinger are kept straight, the three other fingers are bent. Only a small part of the vessel is preserved and some vertical decorations are still visible on it.","Baalshamin IV, p. 113, pl. 29."
Sculpture fragment of a female chest.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190426115341_COL_PHOTO_PLANCHES_DET_01_31_22_77908.png,Sculpture,Soft limestone,27 x 39 x 20 ,"","",180,"Palmyra, No ID",144,77908 ; 77918 ; 78597,"",Sculpture fragment of a female chest. The fragment looks porous and is broken on all sides. The figure wears a tunica covered by a coat which is folded around the left forearm. Both hands are at chest-level. The right one holds the cloth and a unidentified elongated object is visible in the left one. The fragment is broken from the neck up to the waist down.,"Baalshamin IV, p. 117, pl. 31."
Sculpture fragment of a male chest on a plate.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190426135405_COL_PHOTO_PLANCHES_DET_01_31_23_77909.png,Sculpture,Soft limestone,27 x 32 x 19,"",A straight and diagonal crack took the left part of the head and gave the fragment a sharp upper left edge.,168,"Palmyra, B 1868",92,77909 ; 78165,"","Sculpture fragment of a male chest on a plate. The fragment is broken on all sides and is only preserved from the middle of the chest to the right ear. A straight and diagonal crack took the left part of the head off and gave the fragment a sharp upper left edge. The figure wears a tunica covered by a coat which is folded upon the left shoulder. The folds of cloth visible under the neckline are ""V"" and U-shaped. The head is mutilated and no facial characteristics remain except for the right ear and a small portion of the beard. Near the ear, few curls of hair are still visible. A fraction of a back plate with drapery on which the statue leaned against is still preserved between the right ear and the right shoulder of the figure","Baalshamin IV, p. 107, pl. 25."
Sculpture fragments of an architectural element.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190426151555_COL_PHOTO_PLANCHES_DET_01_31_24_77910.png,Sculpture,Hard limestone,"11 x 15 x 6 and 25.5 x 17 x 6
","","",204 ; 213,"Palmyra, No ID",165,77910 ; 78622 ; 78623,"","Two sculpture fragments of an architectural element. Both are curved. They probably belong to a sculpted doorframe. The upper parts of both fragments are decorated with a large rectangular frame in which vegetal tendrils and fruits are sculpted. Each middle part of the fragments is decorated. On the first one, we can see a fruit with three leaves. On the second one, a flower with petals is depicted. Both are surrounded by circular vegetal tendrils.","Baalshamin IV, p. 122, pl. 35."
Sculpture fragment of a decorated pillar.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190510133509_COL_PHOTO_PLANCHES_DET_01_27_22_78694.png,Sculpture,Hard limestone,38.5 x 22 x 13,"","",177,"Palmyra, B 1873",119,77911 ; 77912 ; 78694; 78705,"","Sculpture fragment of a decorated pillar. The lower part of the fragment is broken and the middle one is trapezoidal-shaped. The pillar is topped with a cylindrical headdress divided into two sections by two incised lines. The headdress is decorated with a laurel crown containing a sculpted bust in the centre. A piece of cloth is lying between the top of the pillar and the headdress, two folds are falling down. One is rounded and the other is pointed.","Baalshamin IV, p. 112, pl. 28."
Sculpture fragments of a male figure holding a pottery.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190502141641_COL_PHOTO_PLANCHES_DET_01_31_35_77921.png,Sculpture,Soft limestone,40 x 29 x 13,"","",173 ; 184,"Palmyra, B 1870",67,77913 ; 77914 ; 77915 ; 77917 ; 77920 ; 77921 ; 78166; 78670 ; 78671; 79617; 79653; 79659; 79671,"",Two sculpture fragments of a masculine figure holding a pottery. The figure is draped and broken from the chest up by a straight diagonal cut and at thighs-level by a horizontal crack. The figure wears a long-sleeve tunica and a coat wrapped around the left arm which is the only one preserved. The drapery is vertically folded under the arm but the rest of the folds are inclined. A belt can be seen on the left of the statue at waist-level. The left hand holds a jar by the neck between the middle and the ring fingers. The thumb and the palm of the same hand hold a decorated box which directly lies on top of the pottery that has no handles. The box is decorated with a frieze of cattle skulls and garland of leaves.,"Baalshamin IV, p. 101, pl. 20."
Sculpture fragment of a female head on a plate.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190502153517_COL_PHOTO_PLANCHES_DET_01_27_01_77742.png,Sculpture,Soft limestone,14 x 17.5 x 7,"","",6,"Palmyra, B 1819",15,77742 ; 78389 ; 78655,1st century A.D.,"Sculpture fragment of a female head on a plate. The left and the lower parts of the fragment are broken. A straight diagonal cut separates the plate in half. The front view depicted head is surrounded by a frame that is only preserved on the left and on the top. The eyes are wide open, the mouth is thin, the nose is slightly damaged and the chin is missing. The figure has thick, dense hair all around her face and wears a cylindrical headdress.","Baalshamin I, p. 171, 174, 226 ; Baalshamin II, pl. 110 ; Baalshamin IV, p. 88, pl. 8."
Sculpture fragment of a male head.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190503091955_COL_PHOTO_PLANCHES_DET_01_27_02_78677.png,Sculpture,Hard limestone,14 x 13 x 12,"","",194,"Palmyra, B 1878",111,77684 ; 78677,"","Sculpture fragment of a male head. The fragment is substantially damaged, the lower half of the face is missing from the nose down. Concerning the facial characteristics, only the upper part of the nose, the bulging eyes and damaged eyebrows are preserved. Rounded curls of hair are aligned from the upper part of the forehead to ears-level. The back of the fragment is barely treated.","Baalshamin IV, p. 110, pl. 27."
Sculpture fragment of a female chest.,files/_ac07ca7d_8dc8_4133_9658_416409bbb53d/20190503095047_COL_PHOTO_PLANCHES_DET_01_27_03_78678.png,Sculpture,Hard limestone,17 x 19 x 7,"","",2,"Palmyra, B 1816",134,77676 ; 78117 ; 78290 ; 78295 ; 78390 ; 78678,"","Sculpture fragment of a draped female chest. The fragment is broken on top, left and bottom. The figure is preserved from the neck down to navel level. The belt worn over the tunica forms many vertical small folds under the V-shaped neckline of the cloth. On the left shoulder, the right hand holds a coat that diagonally covers the figure. The coat is folded over the left shoulder and falls down over the left arm. The rectangular hole on which the head was inserted is still visible on the top of the fragment. The back of the statue is barely treated.","Baalshamin IV, p. 114, pl. 30."
